id,created_at,description,scan_id,type,recommendation,severity,attack_type_code,state,eal_low,eal_ml,eal_high,eal_daily
491,2025-07-02 18:31:29.926,DMARC policy is in monitoring mode (p=none) and provides no active protection.,H3RP-mofoJ_,EMAIL_SECURITY_WEAKNESS,Strengthen DMARC policy from p=none to p=quarantine or p=reject to actively prevent email spoofing.,LOW,PHISHING_BEC,AUTOMATED,1000,2000,4000,
492,2025-07-02 18:31:31.748,4 medium breach exposures found,H3RP-mofoJ_,PASSWORD_BREACH_EXPOSURE,Force password reset and enable 2FA for affected accounts,CRITICAL,MALWARE,AUTOMATED,12000,24000,48000,
493,2025-07-02 18:31:31.756,1 critical breach exposures found,H3RP-mofoJ_,CRITICAL_BREACH_EXPOSURE,Immediately force password reset and revoke all sessions for affected accounts,CRITICAL,MALWARE,AUTOMATED,12000,24000,48000,
494,2025-07-02 18:31:31.761,11 info breach exposures found,H3RP-mofoJ_,EMAIL_BREACH_EXPOSURE,Monitor for phishing attempts and consider security awareness training,CRITICAL,MALWARE,AUTOMATED,12000,24000,48000,
495,2025-07-02 18:31:41.407,Python validation: TLS handshake failed: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),H3RP-mofoJ_,TLS_CONFIGURATION_ISSUE,Configure server to present complete certificate chain including intermediate certificates,INFO,MALWARE,AUTOMATED,1000,2000,4000,
496,2025-07-02 18:31:52.842,Python validation: TLS handshake failed: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),H3RP-mofoJ_,TLS_CONFIGURATION_ISSUE,Configure server to present complete certificate chain including intermediate certificates,INFO,MALWARE,AUTOMATED,1000,2000,4000,
497,2025-07-02 18:31:52.849,No valid SSL/TLS certificate found on any tested host variant,H3RP-mofoJ_,MISSING_TLS_CERTIFICATE,Configure SSL/TLS certificates for all public hosts,HIGH,MALWARE,AUTOMATED,10000,19000,38000,
498,2025-07-02 18:32:15.299,"Potential typosquat threat with different ownership. Risk factors: Same registrant as original domain: Unknown, Different registrar and registrant - potential typosquat threat",H3RP-mofoJ_,PHISHING_SETUP,Investigate and potentially initiate takedown procedures for lodging-sou.rce.com,HIGH,PHISHING_BEC,AUTOMATED,5000,9000,18000,
499,2025-07-02 18:32:15.82,"Potential typosquat threat with different ownership. Risk factors: Same registrant as original domain: Unknown, Different registrar and registrant - potential typosquat threat",H3RP-mofoJ_,PHISHING_SETUP,Investigate and potentially initiate takedown procedures for lodging-sour.ce.com,HIGH,PHISHING_BEC,AUTOMATED,5000,9000,18000,
500,2025-07-02 18:32:15.839,"Potential typosquat threat with different ownership. Risk factors: Same registrant as original domain: Unknown, Different registrar and registrant - potential typosquat threat",H3RP-mofoJ_,PHISHING_SETUP,Investigate and potentially initiate takedown procedures for lodgin.g-source.com,HIGH,PHISHING_BEC,AUTOMATED,5000,9000,18000,
501,2025-07-02 18:32:16.254,"Potential typosquat threat with different ownership. Risk factors: Same registrant as original domain: Unknown, Different registrar and registrant - potential typosquat threat",H3RP-mofoJ_,PHISHING_SETUP,Investigate and potentially initiate takedown procedures for lodging-so.urce.com,HIGH,PHISHING_BEC,AUTOMATED,5000,9000,18000,
502,2025-07-02 18:32:52.208,Rule: color-contrast | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds (32 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
503,2025-07-02 18:32:52.209,Rule: html-has-lang | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,Ensures every HTML document has a lang attribute (4 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
504,2025-07-02 18:32:52.211,Rule: image-alt | Impact: critical | Help: https://dequeuniversity.com/rules/axe/4.8/image-alt?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,Ensures <img> elements have alternate text or a role of none or presentation (12 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
505,2025-07-02 18:32:52.212,Rule: link-name | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/link-name?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,Ensures links have discernible text (48 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
506,2025-07-02 18:32:52.213,Rule: listitem | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/listitem?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,Ensures <li> elements are used semantically (4 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
507,2025-07-02 18:32:52.214,Rule: meta-viewport | Impact: critical | Help: https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=axeAPI,H3RP-mofoJ_,ACCESSIBILITY_VIOLATION,"Ensures <meta name=""viewport""> does not disable text scaling and zooming (4 elements across 4 pages)",HIGH,ADA_COMPLIANCE,AUTOMATED,2000,7500,15000,
508,2025-07-02 18:34:31.932,"Domain redirects to lodging-source.com; verify legitimate ownership. Evidence: Same registrant as original domain: Unknown, Different registrar and registrant - potential typosquat threat",H3RP-mofoJ_,TYPOSQUAT_REDIRECT,Investigate and potentially initiate takedown procedures for lodgingsource.com,HIGH,MALWARE,AUTOMATED,10000,19000,38000,
